lab.id,site,unique.id,moisture.trt,temp.trt,cumulativeCO2Flux,GWC,VWC,soil.pH,Latitude,Longitude,MAT_c,MAP_mm,Elevation_m
98,LENO,LENO_S_T0_P31,20,25,1.144981687,34.46846645,39.63333333,5.92,31.85388,-88.16122,18.1,1386,20
99,LENO,LENO_S_T0_P36,20,25,0.509255707,25.34191314,16.23333333,5.97,31.85388,-88.16122,18.1,1386,20
100,SERC,SERC_S_T0_P10,20,25,0.447382212,25.26739853,20.9,4.71,38.89008,-76.56001,13.6,1075,15
101,SERC,SERC_S_T0_P20,20,25,0.588476837,24.55320429,16.96666667,4.49,38.89008,-76.56001,13.6,1075,15
102,SERC,SERC_S_T0_P28,20,25,0.807137991,36.15461317,47.56666667,5.67,38.89008,-76.56001,13.6,1075,15
103,TALL,TALL_S_T0_P23,20,25,1.620897748,15.47117654,8.633333333,5.27,32.95046,-87.39327,17.2,1383,135
104,TALL,TALL_S_T0_P27,20,25,1.627618277,19.36135701,32.16666667,5.14,32.95046,-87.39327,17.2,1383,135
105,TALL,TALL_S_T0_P32,20,25,1.29823924,15.10989011,5.966666667,4.99,32.95046,-87.39327,17.2,1383,135
106,TREE,TREE_S_T0_P13,20,25,1.492495435,36.94961599,28.43333333,4.41,45.49369,-89.58571,4.8,797,472
107,TREE,TREE_S_T0_P19,20,25,0.579382456,23.23692552,9.6,4.81,45.49369,-89.58571,4.8,797,472
108,TREE,TREE_S_T0_P34,20,25,0.717872132,15.7744852,4.966666667,5.03,45.49369,-89.58571,4.8,797,472
109,BART,BART_S_T0_P02,40,25,3.517147272,62.33846894,25.06666667,4.34,44.06388,-71.28731,6.2,1325,232
110,BART,BART_S_T0_P08,40,25,4.750438897,65.80955796,20.56666667,4.21,44.06388,-71.28731,6.2,1325,232
111,BART,BART_S_T0_P11,40,25,4.493256574,46.98405036,13.56666667,4.5,44.06388,-71.28731,6.2,1325,232
112,GRSM,GRSM_S_T0_P20,40,25,3.822925911,32.57625565,14.3,4.95,35.68896,-83.50195,13.1,1375,579
113,GRSM,GRSM_S_T0_P25,40,25,4.36471381,40.36513191,21.93333333,4.89,35.68896,-83.50195,13.1,1375,579
114,GRSM,GRSM_S_T0_P27,40,25,3.208156124,29.47060356,11.63333333,4.77,35.68896,-83.50195,13.1,1375,579
115,LENO,LENO_S_T0_P15,40,25,3.746764182,27.17078109,29.93333333,5.55,31.85388,-88.16122,18.1,1386,20
116,LENO,LENO_S_T0_P31,40,25,3.958775767,34.46846645,39.63333333,5.92,31.85388,-88.16122,18.1,1386,20
117,LENO,LENO_S_T0_P36,40,25,3.01597477,25.34191314,16.23333333,5.97,31.85388,-88.16122,18.1,1386,20
118,SERC,SERC_S_T0_P10,40,25,3.009068599,25.26739853,20.9,4.71,38.89008,-76.56001,13.6,1075,15
119,SERC,SERC_S_T0_P20,40,25,2.799466295,24.55320429,16.96666667,4.49,38.89008,-76.56001,13.6,1075,15
120,SERC,SERC_S_T0_P28,40,25,3.891426085,36.15461317,47.56666667,5.67,38.89008,-76.56001,13.6,1075,15
121,TALL,TALL_S_T0_P23,40,25,3.169938288,15.47117654,8.633333333,5.27,32.95046,-87.39327,17.2,1383,135
122,TALL,TALL_S_T0_P27,40,25,4.051492434,19.36135701,32.16666667,5.14,32.95046,-87.39327,17.2,1383,135
123,TALL,TALL_S_T0_P32,40,25,2.728537328,15.10989011,5.966666667,4.99,32.95046,-87.39327,17.2,1383,135
124,TREE,TREE_S_T0_P13,40,25,2.791801734,36.94961599,28.43333333,4.41,45.49369,-89.58571,4.8,797,472
125,TREE,TREE_S_T0_P19,40,25,3.565178284,23.23692552,9.6,4.81,45.49369,-89.58571,4.8,797,472
126,TREE,TREE_S_T0_P34,40,25,4.79197666,15.7744852,4.966666667,5.03,45.49369,-89.58571,4.8,797,472
127,BART,BART_S_T0_P02,60,25,5.037755098,62.33846894,25.06666667,4.34,44.06388,-71.28731,6.2,1325,232
128,BART,BART_S_T0_P08,60,25,4.849345333,65.80955796,20.56666667,4.21,44.06388,-71.28731,6.2,1325,232
129,BART,BART_S_T0_P11,60,25,5.179465015,46.98405036,13.56666667,4.5,44.06388,-71.28731,6.2,1325,232
130,GRSM,GRSM_S_T0_P20,60,25,5.290427847,32.57625565,14.3,4.95,35.68896,-83.50195,13.1,1375,579
131,GRSM,GRSM_S_T0_P25,60,25,4.962873832,40.36513191,21.93333333,4.89,35.68896,-83.50195,13.1,1375,579
132,GRSM,GRSM_S_T0_P27,60,25,3.142049336,29.47060356,11.63333333,4.77,35.68896,-83.50195,13.1,1375,579
133,LENO,LENO_S_T0_P15,60,25,5.773392185,27.17078109,29.93333333,5.55,31.85388,-88.16122,18.1,1386,20
134,LENO,LENO_S_T0_P31,60,25,4.305813208,34.46846645,39.63333333,5.92,31.85388,-88.16122,18.1,1386,20
135,LENO,LENO_S_T0_P36,60,25,4.345298552,25.34191314,16.23333333,5.97,31.85388,-88.16122,18.1,1386,20
136,SERC,SERC_S_T0_P10,60,25,4.006452226,25.26739853,20.9,4.71,38.89008,-76.56001,13.6,1075,15
137,SERC,SERC_S_T0_P20,60,25,4.076436782,24.55320429,16.96666667,4.49,38.89008,-76.56001,13.6,1075,15
138,SERC,SERC_S_T0_P28,60,25,4.178812142,36.15461317,47.56666667,5.67,38.89008,-76.56001,13.6,1075,15
139,TALL,TALL_S_T0_P23,60,25,4.385483574,15.47117654,8.633333333,5.27,32.95046,-87.39327,17.2,1383,135
140,TALL,TALL_S_T0_P27,60,25,4.067846254,19.36135701,32.16666667,5.14,32.95046,-87.39327,17.2,1383,135
141,TALL,TALL_S_T0_P32,60,25,4.690819361,15.10989011,5.966666667,4.99,32.95046,-87.39327,17.2,1383,135
142,TREE,TREE_S_T0_P13,60,25,4.533767581,36.94961599,28.43333333,4.41,45.49369,-89.58571,4.8,797,472
143,TREE,TREE_S_T0_P19,60,25,3.630450999,23.23692552,9.6,4.81,45.49369,-89.58571,4.8,797,472
144,TREE,TREE_S_T0_P34,60,25,3.612954944,15.7744852,4.966666667,5.03,45.49369,-89.58571,4.8,797,472
